customer_id,age,gender,item_purchased,category,purchase_amount_usd,color,location,size,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,previous_purchases,preferred_payment_method,frequency_of_purchases,date,year,month,age_group,purchase_frequency_days
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,14,Venmo,Fortnightly,44947,2023,Jan,Middle-aged,14.0
2,19,Female,Sweater,Clothing,38,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,2,Cash,Fortnightly,44947,2023,Jan,Young Adult,14.0
3,50,Male,Jeans,Clothing,23,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,23,Credit Card,Weekly,44947,2023,Jan,Middle-aged,7.0
4,21,Female,Sandals,Footwear,62,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,Yes,49,PayPal,Weekly,44947,2023,Jan,Young Adult,7.0
5,45,Male,Blouse,Clothing,8,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,31,PayPal,Annually,44947,2023,Jan,Middle-aged,365.0
6,46,Female,Sneakers,Footwear,74,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,14,Venmo,Weekly,44947,2023,Jan,Middle-aged,7.0
7,63,Male,Shirt,Clothing,38,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,49,Cash,Quarterly,44947,2023,Jan,Senior,
8,27,Female,Shorts,Clothing,46,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,19,Credit Card,Weekly,44947,2023,Jan,Young Adult,7.0
9,26,Male,Coat,Outerwear,67,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,8,Venmo,Annually,44947,2023,Jan,Young Adult,365.0
10,57,Female,Handbag,Accessories,80,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,4,Cash,Quarterly,44947,2023,Jan,Middle-aged,
11,53,Male,Shoes,Footwear,85,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,44947,2023,Jan,Middle-aged,14.0
12,30,Female,Shorts,Clothing,93,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,10,Bank Transfer,Fortnightly,44947,2023,Jan,Young Adult,14.0
13,61,Male,Coat,Outerwear,16,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,37,Venmo,Fortnightly,44947,2023,Jan,Senior,14.0
14,65,Female,Dress,Clothing,19,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,31,PayPal,Weekly,44947,2023,Jan,Senior,7.0
15,64,Male,Coat,Outerwear,69,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,34,Debit Card,Weekly,44947,2023,Jan,Senior,7.0
16,64,Female,Skirt,Clothing,8,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,8,PayPal,Monthly,44947,2023,Jan,Senior,30.0
17,25,Male,Sunglasses,Accessories,47,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,44,Debit Card,Bi-Weekly,44947,2023,Jan,Young Adult,14.0
18,53,Female,Dress,Clothing,88,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,36,Venmo,Quarterly,44947,2023,Jan,Middle-aged,
19,52,Male,Sweater,Clothing,13,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,17,Cash,Weekly,44947,2023,Jan,Middle-aged,7.0
20,66,Female,Pants,Clothing,80,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,46,Debit Card,Bi-Weekly,44947,2023,Jan,Senior,14.0
21,21,Male,Pants,Clothing,59,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,50,Cash,Every 3 Months,44947,2023,Jan,Young Adult,
22,31,Female,Pants,Clothing,19,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,22,Debit Card,Quarterly,44947,2023,Jan,Young Adult,
23,56,Male,Pants,Clothing,93,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,32,Debit Card,Annually,44947,2023,Jan,Middle-aged,365.0
24,31,Female,Pants,Clothing,44,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,40,Credit Card,Weekly,44947,2023,Jan,Young Adult,7.0
25,18,Male,Jacket,Outerwear,91,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,16,Debit Card,Weekly,44947,2023,Jan,Young Adult,7.0
26,18,Female,Hoodie,Clothing,59,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,14,PayPal,Annually,44947,2023,Jan,Young Adult,365.0
27,38,Male,Jewelry,Accessories,80,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,13,Credit Card,Annually,44947,2023,Jan,Adult,365.0
28,56,Female,Shorts,Clothing,88,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,44947,2023,Jan,Middle-aged,
29,54,Male,Handbag,Accessories,40,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,41,PayPal,Every 3 Months,44947,2023,Jan,Middle-aged,
30,31,Female,Dress,Clothing,73,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,14,Credit Card,Weekly,44947,2023,Jan,Young Adult,7.0
31,57,Male,Jewelry,Accessories,64,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,16,Credit Card,Monthly,44947,2023,Jan,Middle-aged,30.0
32,33,Female,Dress,Clothing,69,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,45,Venmo,Monthly,44947,2023,Jan,Adult,30.0
33,36,Male,Jacket,Outerwear,64,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,37,Venmo,Annually,44947,2023,Jan,Adult,365.0
34,54,Female,Pants,Clothing,24,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,45,Cash,Quarterly,44947,2023,Jan,Middle-aged,
35,36,Male,T-shirt,Clothing,23,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,38,PayPal,Quarterly,44947,2023,Jan,Adult,
36,54,Female,Blouse,Clothing,4,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,44947,2023,Jan,Middle-aged,14.0
37,35,Male,T-shirt,Clothing,18,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,44,PayPal,Fortnightly,44947,2023,Jan,Adult,14.0
